V01000 V04001 V04002 V04003 V10004 V10201 V10202 V12001 V12052 V12053 V13004 V13003 V13007 V13201 V13241 V13242 V11002 V11042 V11212 V11041 V11043 V14032
59501 2007 4 2 10082 10111 10058 227 267 194 244 87 69 417 32766 45 26 121 15 228 16 0 
59501 2007 4 3 10174 10194 10112 152 194 138 136 79 74 3 32766 47 25 57 2 114 1 0 
59501 2007 4 4 10203 10222 10183 126 141 117 130 89 76 343 32766 31 18 47 2 99 2 0 
59501 2007 4 5 10184 10211 10162 146 165 125 141 85 77 10 32766 3 16 34 3 66 1 0 
59501 2007 4 6 10167 10191 10145 170 192 144 164 85 76 32700 32766 14 11 30 3 50 3 0 
59501 2007 4 7 10160 10181 10137 179 210 155 168 83 65 9 32766 14 17 34 5 62 3 0 
59501 2007 4 8 10162 10178 10142 185 215 170 171 81 65 0 32766 16 16 31 11 46 3 0 
59501 2007 4 9 10160 10180 10142 197 238 170 158 70 30 0 32766 33 24 58 5 91 6 51 
59501 2007 4 10 10160 10174 10147 171 199 161 169 87 65 199 32766 19 13 40 5 63 5 0 
59501 2007 4 11 10152 10173 10134 192 237 153 165 75 51 32700 32766 32 15 43 6 73 5 68 
59501 2007 4 12 10140 10162 10115 199 237 152 141 62 31 0 32766 41 20 51 6 74 6 101 
59501 2007 4 13 10127 10147 10105 205 258 164 191 80 40 0 32766 35 13 43 11 61 11 88 
59501 2007 4 14 10102 10127 10081 220 250 193 226 86 71 32700 32766 18 13 42 11 61 10 26 
59501 2007 4 15 10081 10101 10058 232 262 208 241 85 68 0 32766 22 25 58 11 89 10 57 
59501 2007 4 16 10076 10093 10056 241 283 215 263 88 68 0 32766 22 19 46 12 73 10 70 
59501 2007 4 17 10067 10095 10034 239 253 225 271 91 83 33 32766 28 42 84 10 158 10 0 
59501 2007 4 18 10109 10129 10041 211 275 165 134 56 26 457 32766 32766 28 86 10 139 13 106 
59501 2007 4 19 10143 10161 10126 202 245 173 174 75 44 0 32766 45 25 44 6 80 6 101 
59501 2007 4 20 10127 10150 10100 222 264 187 211 79 68 0 32766 24 18 40 6 70 6 37 
59501 2007 4 21 10104 10124 10083 242 279 219 247 83 58 0 32766 27 14 36 10 52 12 9 
59501 2007 4 22 10077 10101 10048 250 276 226 276 87 76 0 32766 23 26 57 10 92 10 38 
59501 2007 4 23 10068 10084 10052 247 270 227 280 90 85 83 32766 19 35 96 10 178 11 0 
59501 2007 4 24 10081 10105 10063 222 238 211 250 94 88 558 32766 6 26 87 16 139 15 0 
